2012-09-26 11:52:19,509 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-09-26 11:52:19,532 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-09-26 11:52:24,901 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=2003839@1e937f | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 11:52:24,902 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 11:52:24,903 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 14:24:14,763 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-26 14:24:15,390 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-09-26 14:24:15,516 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-26 15:09:34,292 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=3475648@3508c0 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 15:09:34,293 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 15:09:34,294 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 15:48:04,525 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-26 15:48:05,246 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-09-26 15:48:05,300 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-26 16:01:22,376 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=3475648@3508c0 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 16:01:22,377 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 16:01:22,377 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 16:19:47,198 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-26 16:20:05,855 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-3
2012-09-26 16:20:06,274 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-4
2012-09-26 16:43:18,680 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=14460880@dca7d0 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 16:43:18,681 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-26 16:43:18,681 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-27 14:24:38,760 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-27 14:24:39,374 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-09-27 14:24:39,402 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-27 17:42:01,283 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=14460880@dca7d0 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-27 17:42:01,283 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-27 17:42:01,284 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-28 10:55:33,436 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-28 10:55:34,447 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-09-28 10:55:34,732 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-09-28 11:41:33,592 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-09-28 11:41:33,608 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-09-28 11:41:33,612 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616 , attempting to automatically reconnect due to: java.io.EOFException | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2012-09-28 11:41:41,600 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=10808772@a4edc4 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-28 11:41:41,601 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-09-28 11:41:41,601 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
